employee_id,stop_name,stop_lat,stop_lon,distance_to_stop_m
1.0,Winsen(b Neumünster),53.8309813,10.015707299999999,432.3
2.0,"Barmstedt, Hamburger Straße",53.785631699999996,9.782909199999999,255.7
3.0,"Glinde, Schulzentrum",53.540867000000006,10.222050999999999,86.9
4.0,"Reinbek, Am Holländerberg",53.5096326,10.2323576,183.4
5.0,Neuhöfer Damm,53.512975,9.969279199999999,552.6
6.0,Museum für Hamburgische Geschichte,53.551488,9.974692,93.8
7.0,Terminal O'Swaldkai,53.5292712,10.0130082,201.5
8.0,"Neu Wulmstorf, Wulmstorfer Wiesen",53.4745383,9.7867664,1032.7
9.0,"Wentorf, An der Lohe",53.495300799999995,10.271922799999999,912.4
10.0,Stelle(Kr Harburg) Reiherhorst,53.390629999999994,10.076573999999999,1098.1
11.0,"Harksheide, Theodor-Storm-Straße",53.710293199999995,10.015734199999999,86.6
12.0,,,,
13.0,"Höhen, Schleuse",53.566448099999995,9.6274552,185.6
14.0,"Wilstedt, Waldstraße",53.728791799999996,10.056454300000002,173.9
15.0,Am Sandtorkai,53.54305,9.9900735,202.0
16.0,Elbphilharmonie,53.54034,9.986609999999999,95.0
17.0,"Delingsdorf, Mittelweg",53.70192230000001,10.252512099999999,296.7
18.0,359012,53.6553186,10.2564386,195.8
19.0,"Ulzburg, Virchowring",53.790440399999994,9.982275399999999,67.6
20.0,"Ahrensburg, Am Obsthain",53.688233,10.236412500000002,244.6
21.0,"Stellau, Römsmoorweg",53.586411399999996,10.2467211,900.8
22.0,Böttgerstraße,53.5684367,9.9953829,241.2
23.0,"Ahrensburg, Ahrensburger Kamp",53.6489641,10.2581621,156.3
24.0,"Kisdorf, Bismarckplatz",53.811642199999994,10.008650399999999,365.1
25.0,"Floggensee, B 75",53.7763437,10.2733867,269.3
26.0,Jork Westfeld,53.524998,9.6755008,205.3
27.0,Kunsthalle,53.555591899999996,10.0014942,206.8
28.0,Schmalenbeck,53.653199099999995,10.2611942,213.6
29.0,"Wentorf, Hochweg",53.503375999999996,10.249246,432.9
30.0,Borstelmannsweg 133,53.5480819,10.0510251,62.7
31.0,Horster Damm,53.46188,10.27259,26.4
32.0,Argentinienbrücke,53.5281599,9.9759598,139.2
33.0,U Burgstraße,53.5552551,10.0429207,72.3
34.0,"Hemdingen, Beiderwand",53.7661891,9.8458373,761.7
35.0,Klein Offenseth Austraße,53.8055269,9.6930302,863.7
36.0,"Appen-Etz, Denkmal",53.634392299999995,9.7507319,244.3
37.0,Gussau,53.6589683,10.1749057,1002.2
38.0,Alsterchaussee,53.573246,9.9938563,140.7
39.0,Glüsingen(Seevetal) Ring,53.4085562,10.0165721,258.6
40.0,"Sülfeld, Vierthof",53.807665099999994,10.208974,1127.0
41.0,Alsterchaussee,53.5723074,9.9942163,194.1
42.0,Bf. Bad Oldesloe (ZOB),53.805589999999995,10.381509999999999,242.9
43.0,Klinikum Nord (Ochsenzoll),53.6724956,10.0024915,255.8
44.0,"Groß Nordende, Am Gemeindezentrum",53.705349999999996,9.64843,218.4
45.0,"Ulzburg, Virchowring",53.790440399999994,9.982275399999999,240.1
46.0,"Wohltorf, Waldkamp",53.5135283,10.305665099999999,99.1
47.0,Götzberg,53.792905700000006,10.0436409,295.8
48.0,Hoisdorf Wastenfelder Redder,53.645309999999995,10.313189999999999,546.9
49.0,Bargteheide,53.7282401,10.2688563,339.3
50.0,Feldstraße,53.55728,9.96936,144.3
51.0,"Lutzhorn, Wendlohe",53.8212486,9.7960008,579.3
52.0,Dörpsweg,53.610903,9.911325099999999,286.4
53.0,"Bullenkuhlen, Schulweg",53.768587,9.7516743,786.5
54.0,"Appen, Kaserne",53.6583537,9.7129379,627.1
55.0,"Reinbek, Schneewittchenweg",53.518771099999995,10.232520599999999,136.9
56.0,"Groß Nordende, Kahlkes Weg",53.698069999999994,9.64918,106.9
57.0,U Uhlandstraße,53.5650524,10.0244591,180.7
58.0,Steinwerder (Fähre),53.539717499999995,9.965712000000002,382.9
59.0,U Rödingsmarkt/Ludwig Erhard,53.548248,9.98491,230.1
60.0,Bargfeld-Stegen Kirche,53.764537499999996,10.1802979,854.5
61.0,Winsen(b Neumünster),53.8309813,10.015707299999999,453.2
62.0,A Henstedt-Ulzburg,53.7954741,9.982083699999999,279.5
63.0,"Egenbüttel, Hans-Reumann-Straße",53.6385965,9.8776621,210.9
64.0,"Kisdorf, Schmiedeberg",53.810869999999994,10.01292,87.1
65.0,"Ellerbek, Dubenhorst",53.6593004,9.8749158,271.2
66.0,"Bargteheide, Glindfelder Weg",53.7302838,10.2470065,862.2
67.0,Messehallen,53.5575851,9.9767795,126.0
68.0,"Pinneberg, Beim Ratsberg",53.67559,9.7938058,23.7
69.0,Lola-Rogge-Platz,53.5375356,10.013266,454.3
70.0,"Hemdingen, Beiderwand",53.765989999999995,9.845369999999999,811.5
71.0,"Egenbüttel, Kellerstraße",53.64741,9.87219,300.4
72.0,Lübecker Straße,53.5598299,10.0288366,30.5
73.0,"Harksheide, Falkenbergschulen",53.701668,10.010362899999999,182.0
74.0,Rellingen Gösselstieg,53.6613507,9.8462725,508.9
75.0,"Hörsten, Am Plack",53.420613499999995,10.074555,752.2
76.0,Vierlandenstraße,53.485319999999994,10.20995,230.6
77.0,"Pinneberg, Sandkuhlen",53.643664,9.7845604,93.8
78.0,Billhorner Mühlenweg,53.5365173,10.0350814,107.3
79.0,"Kisdorf, Hüttbleker Weg",53.8154213,10.0426757,1285.6
80.0,Alsterchaussee,53.5723074,9.9942163,211.7
81.0,"Holm, Hörnstraße",53.6253927,9.673169999999999,118.8
82.0,"Oststeinbek, Helmut-Landt-Weg",53.54878,10.16453,1067.7
83.0,"Garstedt, Schwarzer Weg",53.675951000000005,9.971587,132.2
84.0,Rathausmarkt,53.5510753,9.9934991,211.1
85.0,"Ahrensburg, Gustav-Delle-Straße",53.6840321,10.224750799999999,54.2
86.0,"Bargfeld-Stegen, Hartwigsahl",53.7650535,10.212337999999999,463.5
87.0,"Wentorf, Kirschkoppel",53.495323299999995,10.2651138,207.4
88.0,Braak,53.6100995,10.2440175,326.8
89.0,"Esingen, Gerberweg",53.6848927,9.7297786,575.4
90.0,"Oering, B 432",53.8174615,10.173580699999999,132.6
91.0,Billerhuder Insel,53.5439946,10.058041399999999,100.1
92.0,Moorburger Straße,53.473102399999995,9.9581583,615.8
93.0,Grenzacker,53.6199851,9.8926453,14.8
94.0,Bargteheide Max-Planck-Straße,53.717132,10.299263,212.6
95.0,"Pinneberg, Klinikum Pinneberg",53.6572092,9.8121998,457.9
96.0,Bad Oldesloe Poggensee/Gärtnerei,53.824161999999994,10.3775459,89.2
97.0,"Großhansdorf, Waldreiterweg",53.663524599999995,10.2757604,54.0
98.0,Oersdorf Dorfstraße,53.840098499999996,9.992410699999999,207.6
99.0,"Hasloh, Peter-Lunding-Weg",53.692583899999995,9.9294096,804.2
100.0,Entenwerder Stieg,53.530380199999996,10.042864999999999,221.1
101.0,Ulzburger Straße 186,53.701442799999995,9.9941132,155.5
102.0,Sorenkoppel,53.591138,10.1847745,142.6
103.0,"Kisdorferwohld, Wakendorfer Straße",53.818799999999996,10.08086,17.9
104.0,359013,53.6553093,10.2564686,233.4
105.0,"Esingen, Gerberweg",53.6848927,9.7297786,171.5
106.0,"Quickborn, Dorotheenplatz",53.73086,9.90085,156.6
107.0,,,,
108.0,Sülldorf,53.581123999999996,9.7973603,717.3
109.0,"Ellerbek, Königsberger Straße",53.6481715,9.8986701,244.1
110.0,U Wartenau,53.56297,10.03326,189.7
111.0,"Ahrensburg, Steinkamp",53.6828587,10.2287731,240.1
112.0,Sandberg,53.544432,9.944795,112.4
113.0,"Uetersen, Finkenbrook",53.68143,9.66626,99.3
114.0,"Pinneberg, Schulenhörn",53.6688033,9.7862102,190.2
115.0,Liegnitzer Straße,53.5799703,10.1375172,159.2
116.0,"Daerstorf, Holzweg",53.437711799999995,9.8053447,317.6
117.0,"Pinneberg, Breslauer Straße",53.6524407,9.7866509,237.4
118.0,Koreastraße,53.5429421,10.0023024,115.0
119.0,"Hohenraden, Harbrookweg",53.7023033,9.8295789,1287.9
120.0,Lütjensee Dornredder,53.654795099999994,10.3665091,232.9
121.0,"Kummerfeld, Bornbarg (Süd)",53.69298,9.79075,123.8
122.0,"Uetersen, Am Gehölz",53.69648600000001,9.67757,238.6
123.0,"Bargteheide, Bachstraße (Ost)",53.72434,10.27787,149.8
124.0,Kamerunweg,53.527499999999996,9.98601,115.0
